skill_id,name,domain,phase,priority_score,current_risk,target_risk,category,effort_hours,strategy,status,assigned_to,path
elg_mdf_tracker,MDF Allocation Tracker,ecosystem,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ecosystem/mdf_tracker
elg_integration_health,Integration Health Monitor,ecosystem,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/ecosystem/integration_health
elg_referral_program,Partner Referral Manager,ecosystem,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ecosystem/referral_program
prodops_beta_program_manager,Beta Program Manager,product_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/product_ops/beta_program_manager
prodops_api_deprecation,API Deprecation Manager,product_ops,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/product_ops/api_deprecation
prodops_roadmap_alignment,Roadmap Alignment,product_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/product_ops/roadmap_alignment
prodops_release_notes_generator,Release Notes Generator,product_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/product_ops/release_notes_generator
prodops_prioritization_engine,Prioritization Engine,product_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/product_ops/prioritization_engine
prodops_performance_budget,Performance Budget Monitor,product_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/product_ops/performance_budget
devex_changelog_tracker,API Changelog Tracker,devex,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/devex/changelog_tracker
devex_integration_health,Integration Health Scorer,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/integration_health
devex_oauth_helper,OAuth Setup Helper,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/oauth_helper
devex_deprecation_notifier,Deprecation Notification Manager,devex,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/devex/deprecation_notifier
devex_code_sample_generator,Code Sample Generator,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/code_sample_generator
